"","x"
"1",58.6127639637166
"2",58.3200587626039
"3",55.8284572688501
"4",56.0475013324488
"5",55.1113175167052
"6",56.633036196358
"7",55.0394766235017
"8",57.0088942211076
"9",57.6899501150903
"10",55.5730330412483
"11",53.931186021328
"12",54.3739483830004
"13",58.6331548032931
"14",54.9320821776721
"15",56.6845561946658
"16",55.1505345325261
"17",54.4392423968548
"18",52.3817478230836
"19",54.9258218171761
"20",55.6771826380609
"21",54.2852433478524
"22",53.2867439733081
"23",53.399704084415
"24",57.0209456544027
"25",56.6727901252826
"26",55.2632567132426
"27",56.8959116146503
"28",54.4338363329042
"29",54.3955426352358
"30",53.4014433101891
"31",53.9705364408905
"32",55.9662644837797
"33",59.8235572655125
"34",58.0494570093692
"35",58.0167876111614
"36",56.8138821013579
"37",59.9486193296459
"38",59.6436829670814
"39",60.1696078509818
"40",58.2723373593231
"41",57.7533536954839
"42",57.7611137347513
"43",57.5921705554446
"44",56.90398435859
"45",56.90398435859
"46",56.90398435859
"47",55.3255216266934
"48",55.3255216266934
"49",56.686917077189
"50",53.4889190040793
"51",55.3293657712286
"52",53.561768892794
"53",53.0866580798309
"54",57.1705282214183
"55",56.6561167342853
"56",56.1986716140081
"57",54.4296793277173
"58",53.7604571018024
"59",57.0388645282457
"60",56.2061853412787
"61",55.2249744661151
"62",56.7498344138756
"63",54.75245559301
"64",54.4488304698936
"65",54.4445247363275
"66",55.7508941238243
"67",56.9129208529684
"68",55.2326685586781
"69",55.6315868740669
"70",56.5600954487699
"71",53.0083961348136
"72",56.4375953330617
"73",57.0499883804444
"74",52.9328610064779
"75",52.6958934523765
"76",52.6958934523765
"77",52.6958934523765
"78",51.960137733949
"79",53.2125300257046
"80",57.7741709753259
"81",55.7041513489949
"82",53.1216137733399
"83",57.1102813214501
"84",55.5832600398888
"85",56.4951603349826
"86",59.7201573160744
"87",54.8548585390779
"88",53.1700828299483
"89",53.2790024558031
"90",53.8426806727636
"91",54.9279033678035
"92",52.7699303586784
"93",55.1604981687153
"94",53.5969162537383
"95",51.3375115809323
"96",57.2889645912136
"97",54.8797253957761
"98",53.969960737805
"99",53.8118712318406
"100",52.7912039883349
"101",54.832784442936
"102",57.3242458531166
"103",55.2819265661093
"104",53.6218221724646
"105",56.395016592072
"106",56.395016592072
"107",54.3297928580493
"108",54.880227621109
"109",55.223106902298
"110",55.5338250356367
"111",54.347267013512
"112",55.0588938199447
"113",56.3447393365205
"114",56.2982050407094
"115",58.4161229437375
"116",57.833972091898
"117",57.833972091898
"118",55.5201429588132
"119",55.1700243468311
"120",54.0728455542241
"121",50.2752885874633
"122",50.2752885874633
"123",55.1908518923477
"124",55.1908518923477
"125",53.3334868587097
"126",50.3965392685335
"127",50.3965392685335
"128",52.8355167216307
"129",57.9122001499032
"130",54.8350064403623
"131",50.9980879420968
"132",52.9057797996345
"133",52.9057797996345
"134",52.9057797996345
"135",52.9057797996345
"136",52.478513525619
"137",52.478513525619
"138",52.478513525619
