"","x"
"1",55.0580567864543
"2",0
"3",59.8467888391986
"4",58.1942835686986
"5",57.5857383213491
"6",57.7037653976601
"7",57.4411156040671
"8",57.0256151325668
"9",57.8542370367117
"10",65.7089446981326
"11",62.7846939378414
"12",61.8952849056889
"13",0
"14",0
"15",57.7224459552298
"16",58.2427179725695
"17",58.2092263042787
"18",57.7859530729618
"19",61.8254467112667
"20",57.973888564083
"21",63.315537258016
"22",61.3117162584364
"23",63.8434408120879
"24",63.6567228183007
"25",59.0036721013848
"26",62.0456424213752
"27",59.2850820513833
"28",57.8326826386275
"29",60.2913782569512
"30",60.7227635539187
"31",63.5818320413613
"32",0
"33",61.104511636487
"34",62.6224205972227
"35",59.509830121649
"36",61.21538144947
"37",59.4533550882786
"38",63.28285053698
"39",57.2299974500387
"40",60.8139892332296
"41",65.5199331682919
"42",63.0228100086803
"43",61.4544371747931
"44",60.0356409239759
"45",56.9462028674468
"46",58.0713463832077
"47",62.5947775578064
"48",59.3579161540119
"49",56.7111661398057
"50",59.2866250543209
"51",57.4600785347343
"52",57.0601862340108
"53",57.7824218308297
"54",61.0831885410431
"55",61.2391552287382
"56",55.0376013518758
"57",54.8561150726448
"58",56.4725297963495
"59",59.8534106490317
"60",58.9225001627789
"61",59.4810937171719
"62",58.6879642275488
"63",55.556225466716
"64",56.4227357249315
"65",55.8941338055524
"66",59.2748058402065
"67",55.948734393957
"68",57.0511953880764
"69",64.7370518456956
"70",64.8651880956153
"71",58.8699011552454
"72",59.2403872420699
"73",57.451040282973
"74",57.6605313328501
"75",55.8751318379663
"76",0
"77",54.2049495925315
"78",55.9808500174897
"79",58.738702866467
"80",60.5700621315623
"81",55.3957434946362
"82",54.9770727189916
"83",59.9885193191653
"84",56.0974136924881
"85",55.0475903408897
"86",59.5878765551285
"87",59.422567156938
"88",55.7619349758968
"89",54.3730777755826
"90",62.3517834464639
"91",56.7079654124802
"92",56.2140164281903
"93",54.447671356418
"94",55.6308775674911
"95",60.2695869536844
"96",58.7723605761254
"97",57.4217029271814
"98",54.5178411135247
"99",58.574891107743
"100",57.812180897639
"101",63.3404501598829
"102",58.0470467024676
"103",55.365428218014
"104",55.059357577741
"105",56.1119079802887
"106",53.6137310499042
"107",55.3159260442037
"108",56.5770512021477
"109",55.1752535429797
"110",55.8200810665789
"111",0
"112",53.3237850731576
"113",55.1966576142141
"114",54.0125625611856
"115",55.6266696022655
"116",54.4266902768358
"117",54.7827164560283
"118",57.2533039596452
"119",55.7646535090669
"120",57.3499886171072
"121",52.3206657863435
"122",53.5478474548645
"123",54.2947194122674
"124",0
"125",54.1319722941284
"126",54.0448451553045
"127",51.1365257319298
"128",51.4159667037402
"129",0
"130",53.5901523426037
"131",52.9828308283981
"132",0
"133",54.6832257522759
"134",0
"135",53.3834470091258
"136",53.0590101234102
"137",0
"138",52.7729558471344
"139",54.0386081629641
"140",0
"141",0
"142",-Inf
