"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",52.3997603849
"9",0
"10",56.7222852054693
"11",53.2900212365141
"12",54.3854272528592
"13",51.6263050197731
"14",53.3246421135542
"15",56.5296717971218
"16",54.4195626605159
"17",53.3607783591058
"18",54.1312130288083
"19",54.0433264002727
"20",53.2381896807165
"21",53.598505649484
"22",54.3917079618171
"23",53.4674640944636
"24",53.2571193221701
"25",55.4600877308133
"26",54.238980892001
"27",54.6908264028446
"28",55.3986540982747
"29",55.39988237721
"30",56.047992286404
"31",56.599427778337
"32",56.0307330264454
"33",56.3176970417515
"34",57.8835667979779
"35",59.9410704825032
"36",58.9353433691484
"37",61.5254987816389
"38",61.3282672562684
"39",61.4591202456914
"40",59.0870297144587
"41",63.5202501611227
"42",59.0241920731627
"43",63.5925401682694
"44",60.0307098392493
"45",59.5483581587135
"46",57.6827447153983
"47",60.7302779513158
"48",58.8706760764893
"49",58.9051947645293
"50",65.7213652793498
"51",61.5109551146457
"52",59.5047564531025
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",59.723816710044
"60",57.4309476781355
"61",61.6874540533537
"62",58.1179847920003
"63",61.9556846345386
"64",66.2434111678819
"65",60.8251082231533
"66",59.9036277717708
"67",59.118877988129
"68",59.1752594902146
"69",58.2940150605601
"70",59.8138000376752
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",59.3762976099672
"79",59.1647542926611
"80",58.2731185757445
"81",59.8147185895437
"82",64.8234142206749
"83",63.7987210787706
"84",61.1853853401703
"85",58.3771318567375
"86",0
"87",0
"88",54.927660997566
"89",57.4304440584153
"90",0
"91",67.4465761465941
"92",63.6703756055638
"93",60.8790986675988
"94",60.451588384652
"95",59.9830694984529
"96",58.9945502035187
"97",0
"98",60.1823469081921
"99",56.6766434085335
"100",57.5964150925588
"101",58.0451589594934
"102",61.3171995850865
"103",54.9950737735877
"104",53.2461272995047
"105",54.5028367027401
"106",57.488428630275
"107",55.8722545352003
"108",53.7363293479468
"109",53.678910069232
"110",53.7610639633181
"111",55.5962611464158
"112",55.8795216058924
"113",56.6220701618587
"114",55.9358052074075
"115",53.8739975398014
"116",59.6010486764983
"117",54.6072745444848
"118",61.1119266015085
"119",59.8956330750142
"120",57.0215006248616
"121",54.7166863619894
"122",53.8240326347132
"123",55.8385887830677
"124",0
"125",0
"126",53.3396904523817
"127",0
"128",0
"129",-Inf
