"","totalEnergy","peakFlux","duration"
"1",58.6127639637166,-10.6493477506032,7.01571242048723
"2",58.6127639637166,-10.6493477506032,7.01571242048723
"3",58.5921538892572,-10.8526043964751,6.96413561241824
"4",57.3380989013151,-10.8474115402069,6.01126717440416
"5",54.1822652424801,-13.741768363056,5.23644197612782
"6",56.6088550889207,-12.6291969163669,6.51619307604296
"7",56.0888036911377,-12.1957567706053,5.89164421182577
"8",57.2292533808857,-12.8326499944614,7.2211050981825
"9",55.2882218967735,-13.4530272994906,6.17378610390194
"10",53.9160118471943,-14.4939418700139,5.67675380226828
"11",55.3573611861684,-13.4493901486153,6.27061028853748
"12",54.0195852190917,-14.135743329387,5.52942908751142
"13",58.158334691644,-10.9460368284304,6.99576615630485
"14",54.3774546104281,-13.3555723990661,5.42432049275177
"15",55.7766044239486,-12.7225578881006,6.01778186354224
"16",54.4100356662304,-13.2247782800873,5.32370657966149
"17",58.3272921596755,-9.90637764382957,6.19440540130875
"18",55.7888791283384,-12.7499948691704,6.23441072571837
"19",55.8770821702434,-12.6843536233007,5.95410876488947
"20",56.5744363607823,-12.0747860831527,7.09340462586877
"21",58.6706873435304,-9.17444711173615,6.26909628370626
"22",55.4298762861367,-13.2296857291677,5.73872052601748
"23",55.4298762861367,-13.2296857291677,5.73872052601748
"24",55.3699297898521,-12.6690995170481,6.13412084028407
"25",53.6711628888863,-14.0520543427081,5.33753810373978
"26",54.2210173549961,-13.7165502298823,5.12396397940326
"27",54.2036844030919,-13.6879869956403,5.62401750618734
"28",54.2036844030919,-13.6879869956403,5.62401750618734
"29",54.5338001319794,-13.9866795207745,5.59098697677951
"30",54.5338001319794,-13.9866795207745,5.59098697677951
"31",54.5338001319794,-13.9866795207745,5.59098697677951
"32",57.6007750654879,-10.9977100902747,6.38575635461802
"33",53.4586593112901,-14.5939630226274,5.48063892334199
"34",54.9312078128338,-13.7541242169178,6.19847871649231
"35",57.3551010116742,-11.7010946571059,6.39559543554079
"36",53.8061726182708,-14.4505336474895,5.75574220567552
"37",55.9379361216992,-12.5850727419439,6.17378610390194
"38",54.619337730264,-13.7998068959403,6.07993319509559
"39",55.3087324044917,-12.8151896175373,5.6937321388027
"40",54.2973284684121,-13.8607390402098,5.92958915225514
"41",54.9064792123583,-14.0098626887776,6.37672696490543
"42",54.5337546038863,-13.0125534426093,5.82304590140018
"43",52.3431611054381,-15.6130963603557,5.12396397345088
"44",52.4547226596861,-15.6723167094219,5.25749537202778
"45",55.5756071850782,-14.1332348252063,6.90575327631146
"46",55.5756071850782,-14.1332348252063,6.90575327631146
"47",52.4591903159103,-14.0778536836552,4.70048036579242
"48",55.6771826380609,-12.2098544692861,5.82894561761021
"49",55.6771826380609,-12.2098544692861,5.82894561761021
"50",54.6997916734604,-13.4834143703894,5.61555824124136
"51",52.8132588936075,-15.0072916343542,5.35658627467201
"52",52.8132588936075,-15.0072916343542,5.35658627467201
"53",53.2867439733081,-14.7420195017352,5.41758077258195
"54",53.2867439733081,-14.7420195017352,5.41758077258195
"55",53.2867439733081,-14.7420195017352,5.41758077258195
"56",53.399704084415,-14.6147630425792,5.37527840768417
"57",53.399704084415,-14.6147630425792,5.37527840768417
"58",53.399704084415,-14.6147630425792,5.37527840768417
"59",57.0209456544027,-12.6362858716191,6.65415252018322
"60",57.310763101461,-11.5522493114416,6.5510803350434
"61",56.5408369892489,-11.4735082518936,6.25894391224224
"62",55.7734520629408,-12.2282137257895,5.94855704609671
"63",54.456977458251,-13.77623680391,5.83364046191442
"64",55.3875847851788,-13.2180967479079,6.07150725478152
"65",57.588877917814,-11.2879259370466,7.05617528410041
"66",54.2040390248049,-13.5523626659976,5.4722706904782
"67",56.0852509203862,-13.7509807196769,6.81563999007433
"68",53.7674209150993,-14.4250520994818,5.64897423816121
"69",54.7717303958514,-13.0930166041118,5.48617910648004
"70",53.2898968089462,-14.5338170975238,5.35280555183211
"71",54.9556649003505,-12.5024190787159,5.71042701737487
"72",54.5750227883093,-14.1979206093988,6.13988455222626
"73",53.6677672785167,-15.1301282229453,6.01126717440416
"74",53.1613467938194,-15.0825323799557,5.8664680569333
"75",54.179454300628,-14.3334001730719,5.78074351424912
"76",54.179454300628,-14.3334001730719,5.78074351424912
"77",52.7764106353587,-14.8284672407852,4.89783979995091
"78",55.4940743188363,-13.887553368648,6.53087762772588
"79",56.1901358191848,-12.8920796843466,6.27914662580976
"80",54.7107624799275,-13.9688952961997,6.33859407820318
"81",61.0799963102742,-8.80343337056265,7.74759683869289
"82",59.1177279174083,-9.63351713830583,6.58663131930772
"83",55.1277138760275,-14.1991019019733,6.33682573114644
"84",58.9984242755402,-9.37111615497032,6.46976697400312
"85",56.6870740595778,-11.9144004250676,6.26149168432104
"86",58.5867112643584,-10.9231192518402,6.98964243845432
"87",55.6405665164582,-13.1006431120108,5.62762111369064
"88",57.4526248976749,-11.7412144563858,6.71901315740458
"89",55.7345788597264,-13.5011521576406,6.26720054854136
"90",57.4296096225011,-11.5416618017792,6.63331843328038
"91",60.9920435034851,-8.95029332865463,7.4121603349452
"92",59.6436829670814,-9.14218437056733,5.99146454710798
"93",59.6436829670814,-9.14218437056733,5.99146454710798
"94",59.6436829670814,-9.14218437056733,5.99146454710798
"95",59.6436829670814,-9.14218437056733,5.99146454710798
"96",60.1696078509818,-8.98193526694446,6.35262939631957
"97",59.0282202280177,-10.1985538077506,6.21860011969173
"98",57.2388941265854,-10.3403797508094,4.44968527613835
"99",58.665095207506,-10.7611680430377,6.30991827822652
"100",57.2042779240711,-11.1655354730982,5.25749537202778
"101",57.7244956822557,-10.9125334239688,5.70948049103599
"102",57.7506228410501,-11.507177946146,6.18208490155134
"103",57.8962817243107,-11.8874463620269,6.72623340235875
"104",57.8748550482831,-12.03037385984,6.85716349286608
"105",58.5254857569229,-12.2358529082923,7.87092959675514
"106",56.8834019760033,-12.6052385801554,6.41999492814714
"107",57.2333764715521,-12.6271639618765,6.87005341179813
"108",55.9099563492558,-12.9822944386791,5.86363114718901
"109",55.9099563492558,-12.9822944386791,5.86363114718901
"110",55.9099563492558,-12.9822944386791,5.86363114718901
"111",55.9099563492558,-12.9822944386791,5.86363114718901
"112",55.9099563492558,-12.9822944386791,5.86363114718901
"113",55.9099563492558,-12.9822944386791,5.86363114718901
"114",55.9099563492558,-12.9822944386791,5.86363114718901
"115",55.3255216266934,-13.6794563590433,6.04025471127741
"116",55.3255216266934,-13.6794563590433,6.04025471127741
"117",55.3255216266934,-13.6794563590433,6.04025471127741
"118",55.3255216266934,-13.6794563590433,6.04025471127741
"119",55.3255216266934,-13.6794563590433,6.04025471127741
"120",55.3255216266934,-13.6794563590433,6.04025471127741
"121",56.686917077189,-11.7320181073066,6.29156913955832
"122",56.686917077189,-11.7320181073066,6.29156913955832
"123",53.4889190040793,-14.4937769290166,5.23644196282995
"124",53.4889190040793,-14.4937769290166,5.23644196282995
"125",55.3293657712286,-13.2528430768989,5.75574221358691
"126",55.3293657712286,-13.2528430768989,5.75574221358691
"127",55.3293657712286,-13.2528430768989,5.75574221358691
"128",53.561768892794,-14.175947894644,5.12396398337151
